parameter,geo,slope,correction
ftbar,tetragonal,1.03,0.97
ftbar,ellipsoid,1,1
ft238,tetragonal,1.03,0.97
ft238,ellipsoid,1,1
ft235,tetragonal,1.03,0.97
ft235,ellipsoid,1,1
ft232,tetragonal,1.03,0.97
ft232,ellipsoid,1,1
ft147,tetragonal,1.01,0.99
ft147,ellipsoid,1,1
v,tetragonal,1.24,0.81
v,ellipsoid,0.96,1.04
rft,tetragonal,1.09,0.92
rft,ellipsoid,1.02,0.98
